"yob","sex","state","race","educ","ideo","pid_1","pid_2r","pid_2d","pid_2i","biden_approval","trump_approval","screener_2","screener_4","policy_educ","policy_tax","policy_immi","policy_mari","statement_1","statement_2","statement_3","statement_4","statement_5","statement_6","statement_7","statement_8","statement_9","statement_10","statement_11","statement_12","statement_13","statement_14","statement_15","statement_16","statement_17","statement_18","statement_19","statement_20","statement_21","statement_22","statement_23","statement_24","statement_25","statement_timer_First.Click","statement_timer_Last.Click","statement_timer_Page.Submit","statement_timer_Click.Count"
12,2,4,"4",4,2,1,1,NA,NA,1,1,1,1,2,2,3,3,NA,32,23,NA,NA,NA,36,44,NA,41,NA,33,30,18,23,NA,42,NA,50,NA,NA,28,28,27,26,0.995,36.118,63.109,46
21,2,48,"1",3,4,2,NA,1,NA,2,3,3,2,1,2,3,3,62,NA,85,86,NA,36,NA,NA,34,84,NA,63,13,NA,61,NA,NA,72,NA,25,NA,61,89,35,85,0.803,42.032,62.349,29
9,1,10,"3",4,5,2,NA,2,NA,1,4,3,2,2,3,2,3,25,NA,61,NA,23,39,NA,72,52,NA,69,NA,NA,52,NA,44,86,53,NA,42,NA,77,NA,33,62,2.029,126.632,127.53,23
20,2,14,"4",5,3,2,NA,2,NA,2,2,3,1,2,3,3,3,84,92,100,NA,94,NA,97,NA,95,NA,NA,99,100,NA,NA,95,96,93,NA,100,93,100,97,NA,NA,0.434,60.398,61.003,35
34,1,7,"2",2,4,2,NA,2,NA,2,4,3,1,2,1,2,1,NA,91,NA,NA,86,86,86,NA,NA,71,81,NA,88,91,89,71,NA,NA,NA,NA,83,79,74,83,68,0.89,54.845,62.755,43
22,2,42,"2",2,3,2,NA,1,NA,2,3,3,1,2,2,1,3,10,NA,NA,NA,NA,19,71,71,69,NA,9,7,6,11,70,11,10,16,NA,NA,17,NA,14,NA,NA,3.96,54.649,62.868,31
40,2,36,"1",2,1,2,NA,1,NA,1,4,1,1,1,1,2,2,100,100,NA,NA,99,100,100,NA,100,NA,100,100,100,NA,NA,NA,100,100,NA,100,100,100,NA,100,NA,1.056,42.381,61.252,27
10,1,10,"2,3",2,4,2,NA,2,NA,4,4,3,3,4,4,4,4,NA,40,NA,35,34,NA,34,NA,NA,60,57,29,34,NA,NA,NA,30,51,27,61,NA,35,33,NA,59,0.222,49.883,61.232,58
11,2,14,"3",3,3,3,NA,NA,1,2,2,2,1,2,1,2,2,NA,NA,35,NA,NA,NA,50,66,50,69,59,44,34,43,71,NA,NA,69,31,NA,45,35,43,NA,NA,2.001,62.813,63.744,43
7,1,45,"4",5,2,2,NA,2,NA,2,3,3,2,3,3,4,1,NA,51,NA,30,13,39,NA,NA,NA,76,29,21,40,60,29,NA,NA,11,42,NA,21,45,NA,NA,25,1.481,58.732,62.393,39
48,1,11,"1",6,7,1,1,NA,NA,4,2,3,2,2,4,4,4,85,50,5,79,NA,NA,NA,NA,NA,NA,16,20,93,98,NA,NA,10,10,NA,95,11,86,78,NA,5,9.762,139.591,140.308,29
11,2,37,"1",2,4,1,1,NA,NA,3,1,3,3,2,2,2,1,NA,25,NA,NA,61,31,67,36,NA,65,NA,53,33,63,75,46,NA,NA,98,31,28,NA,NA,NA,47,0.492,51.72,61.204,29
19,1,45,"1",6,1,2,NA,1,NA,1,1,3,1,1,1,1,1,85,75,81,NA,84,81,84,92,NA,87,84,NA,82,96,NA,73,NA,NA,NA,NA,82,NA,81,100,NA,1.164,66.065,66.901,68
14,2,10,"1",5,4,1,2,NA,NA,3,3,3,2,2,4,2,2,NA,NA,41,NA,32,NA,44,45,40,NA,NA,42,NA,61,47,NA,43,NA,NA,43,49,45,42,49,49,6.146,54.087,61.978,29
24,1,14,"1",2,4,3,NA,NA,3,4,2,3,2,1,1,1,1,80,50,NA,18,17,NA,35,NA,NA,17,NA,NA,NA,92,27,80,31,81,35,32,83,NA,23,NA,NA,9.516,60.617,61.243,28
12,2,15,"2",3,4,2,NA,1,NA,1,1,3,1,1,1,2,1,98,NA,94,NA,NA,NA,81,NA,70,100,72,NA,NA,NA,NA,100,NA,66,83,48,100,100,100,97,100,0.706,64.3,64.419,68
15,2,45,"1",2,4,3,NA,NA,3,4,1,3,1,1,4,2,3,9,9,11,8,NA,NA,NA,NA,1,NA,NA,6,10,6,NA,NA,8,6,6,NA,NA,12,5,6,20,2.659,52.574,64.853,33
43,2,18,"1",3,6,1,1,NA,NA,4,2,3,2,2,2,2,2,98,NA,NA,100,NA,68,100,100,NA,100,100,NA,NA,100,NA,58,100,29,1,100,44,NA,NA,NA,11,5.946,72.147,74.148,32
