yob	sex	state	race	educ	ideo	pid_1	pid_2r	pid_2d	pid_2i	biden_approval	trump_approval	screener_2	screener_4	policy_educ	policy_tax	policy_immi	policy_mari	statement_1	statement_2	statement_3	statement_4	statement_5	statement_6	statement_7	statement_8	statement_9	statement_10	statement_11	statement_12	statement_13	statement_14	statement_15	statement_16	statement_17	statement_18	statement_19	statement_20	statement_21	statement_22	statement_23	statement_24	statement_25	statement_timer_First.Click	statement_timer_Last.Click	statement_timer_Page.Submit	statement_timer_Click.Count
12	2	4	"4"	4	2	1	1			1	1	1	1	2	2	3	3		32	23				36	44		41		33	30	18	23		42		50			28	28	27	26	0.995	36.118	63.109	46
21	2	48	"1"	3	4	2		1		2	3	3	2	1	2	3	3	62		85	86		36			34	84		63	13		61			72		25		61	89	35	85	0.803	42.032	62.349	29
9	1	10	"3"	4	5	2		2		1	4	3	2	2	3	2	3	25		61		23	39		72	52		69			52		44	86	53		42		77		33	62	2.029	126.632	127.53	23
20	2	14	"4"	5	3	2		2		2	2	3	1	2	3	3	3	84	92	100		94		97		95			99	100			95	96	93		100	93	100	97			0.434	60.398	61.003	35
34	1	7	"2"	2	4	2		2		2	4	3	1	2	1	2	1		91			86	86	86			71	81		88	91	89	71					83	79	74	83	68	0.89	54.845	62.755	43
22	2	42	"2"	2	3	2		1		2	3	3	1	2	2	1	3	10					19	71	71	69		9	7	6	11	70	11	10	16			17		14			3.96	54.649	62.868	31
40	2	36	"1"	2	1	2		1		1	4	1	1	1	1	2	2	100	100			99	100	100		100		100	100	100				100	100		100	100	100		100		1.056	42.381	61.252	27
10	1	10	"2,3"	2	4	2		2		4	4	3	3	4	4	4	4		40		35	34		34			60	57	29	34				30	51	27	61		35	33		59	0.222	49.883	61.232	58
11	2	14	"3"	3	3	3			1	2	2	2	1	2	1	2	2			35				50	66	50	69	59	44	34	43	71			69	31		45	35	43			2.001	62.813	63.744	43
7	1	45	"4"	5	2	2		2		2	3	3	2	3	3	4	1		51		30	13	39				76	29	21	40	60	29			11	42		21	45			25	1.481	58.732	62.393	39
48	1	11	"1"	6	7	1	1			4	2	3	2	2	4	4	4	85	50	5	79							16	20	93	98			10	10		95	11	86	78		5	9.762	139.591	140.308	29
11	2	37	"1"	2	4	1	1			3	1	3	3	2	2	2	1		25			61	31	67	36		65		53	33	63	75	46			98	31	28				47	0.492	51.72	61.204	29
19	1	45	"1"	6	1	2		1		1	1	3	1	1	1	1	1	85	75	81		84	81	84	92		87	84		82	96		73					82		81	100		1.164	66.065	66.901	68
14	2	10	"1"	5	4	1	2			3	3	3	2	2	4	2	2			41		32		44	45	40			42		61	47		43			43	49	45	42	49	49	6.146	54.087	61.978	29
24	1	14	"1"	2	4	3			3	4	2	3	2	1	1	1	1	80	50		18	17		35			17				92	27	80	31	81	35	32	83		23			9.516	60.617	61.243	28
12	2	15	"2"	3	4	2		1		1	1	3	1	1	1	2	1	98		94				81		70	100	72					100		66	83	48	100	100	100	97	100	0.706	64.3	64.419	68
15	2	45	"1"	2	4	3			3	4	1	3	1	1	4	2	3	9	9	11	8					1			6	10	6			8	6	6			12	5	6	20	2.659	52.574	64.853	33
43	2	18	"1"	3	6	1	1			4	2	3	2	2	2	2	2	98			100		68	100	100		100	100			100		58	100	29	1	100	44				11	5.946	72.147	74.148	32
53	1	10	"1"	5	1	3			2	2	4	3	2	1	1	2	2			91			100	100	100	83	100		77	100		76	82		100				85	55	86	46	9.766	75.927	78.045	17
29	2	29	"2"	2	4	3			3	3	3	3	3	2	2	4	1					54	41		63	48		38	54		56	63	41			42		47	54	70	56	57	5.388	52.139	61.5	26
9	1	2	"1"	2	7	3			3	1	1	1	1	4	1	4	1	100	100							100	100	100		100	100	100		100		100		100	100	100	100	100	1.278	64.694	65.675	50
10	1	5	"1"	2	2	1	1			1	1	3	2	1	2	2	2		56	64		63				77		63	68	64	66	59	59		64		70	60	66	54			0.885	61.69	62.652	79
31	1	34	"1"	2	4	3			3	4	1	3	2	1	3	2	1	20	10	27	19		22	14	17	17		21				24	28	24		18		12	31				3.388	121.102	123.438	48
30	2	10	"1,2,6"	3	3	4			3	3	4	3	2	1	1	2	2	100		100		100		82	100	100		100	75	50		0			0	14	81	72			0		7.081	139.934	140.871	19
49	2	29	"1,6"	4	2	2		1		1	4	3	1	1	3	2	3			100	100	100	100	96	100			100		99		66				100		92	70	95	65	21	19.145	173.317	175.582	17
