State	Percentage
"Alabama"	1.519239257
"Alaska"	0.213566548
"Arizona"	2.212183461
"Arkansas"	0.900378562
"California"	11.702077
"Colorado"	1.772891034
"Connecticut"	1.109956792
"Delaware"	0.310642217
"District of Columbia"	0.209835478
"Florida"	6.881112564
"Georgia"	3.221460797
"Hawaii"	0.438155317
"Idaho"	0.565728991
"Illinois"	3.780871275
"Indiana"	2.017781008
"Iowa"	0.949263549
"Kansas"	0.861196964
"Kentucky"	1.344801018
"Louisiana"	1.352780339
"Maine"	0.436074321
"Maryland"	1.847159716
"Massachusetts"	2.164012714
"Michigan"	3.038075964
"Minnesota"	1.695705202
"Mississippi"	0.867207621
"Missouri"	1.845234373
"Montana"	0.340869938
"Nebraska"	0.571716261
"Nevada"	0.953851093
"New Hampshire"	0.437939473
"New Jersey"	2.786260202
"New Mexico"	0.634048357
"New York"	6.014437844
"North Carolina"	3.221974911
"North Dakota"	0.22868175
"Ohio"	3.524621705
"Oklahoma"	1.175698683
"Oregon"	1.304704671
"Pennsylvania"	3.967057477
"Rhode Island"	0.341141372
"South Carolina"	1.596693073
"South Dakota"	0.264785945
"Tennessee"	2.113660143
"Texas"	8.654162318
"Utah"	0.938975121
"Vermont"	0.204076703
"Virginia"	2.613400728
"Washington"	2.353661235
"West Virginia"	0.545641712
"Wisconsin"	1.781539739
"Wyoming"	0.173007459
